version,file,class,mode,threshold,dice,hd95
original,22_Heart_2_8.npz,1,point,0.2,0.0,42.80186911806539
original,22_Heart_2_8.npz,1,point,0.3,0.0,43.08131845707603
original,22_Heart_2_8.npz,1,point,0.5,0.0,43.60045871318328
original,22_Heart_2_8.npz,1,box,0.2,0.48775626423620766,23.853720883753127
original,22_Heart_2_8.npz,1,box,0.3,0.5155772755031833,21.213203435596427
original,22_Heart_2_8.npz,1,box,0.5,0.5605451686168783,17.26267650163207
original,22_Heart_2_8.npz,1,both,0.2,0.3977428702144308,28.42534080710379
original,22_Heart_2_8.npz,1,both,0.3,0.36767740911197383,28.42534080710379
original,22_Heart_2_8.npz,1,both,0.5,0.2796216680992612,28.42534080710379
original,22_Heart_2_8.npz,2,point,0.2,0.44901664145098635,45.60701700396552
original,22_Heart_2_8.npz,2,point,0.3,0.47348868625304463,46.57252408878007
original,22_Heart_2_8.npz,2,point,0.5,0.45051194539078304,47.53945729601885
original,22_Heart_2_8.npz,2,box,0.2,0.6846625766859165,33.60059523282288
original,22_Heart_2_8.npz,2,box,0.3,0.7124338141305232,30.870698080866262
original,22_Heart_2_8.npz,2,box,0.5,0.7722334004008607,23.259406699226016
original,22_Heart_2_8.npz,2,both,0.2,0.6838145231834054,34.17601498127012
original,22_Heart_2_8.npz,2,both,0.3,0.710147567861705,31.304951684997057
original,22_Heart_2_8.npz,2,both,0.5,0.7743877960642827,23.259406699226016
original,22_Heart_2_9.npz,0,point,0.2,0.20206362854599286,27.018512172212592
original,22_Heart_2_9.npz,0,point,0.3,0.18410768562664304,27.018512172212592
original,22_Heart_2_9.npz,0,point,0.5,0.12969588550925898,27.65863337187866
original,22_Heart_2_9.npz,0,box,0.2,0.8712248322129379,10.63014581273465
original,22_Heart_2_9.npz,0,box,0.3,0.8921821305822762,9.899494936611665
original,22_Heart_2_9.npz,0,box,0.5,0.9290235081353323,8.48528137423857
original,22_Heart_2_9.npz,0,both,0.2,0.9500117343324337,5.0
original,22_Heart_2_9.npz,0,both,0.3,0.9503135552316684,4.242640687119285
original,22_Heart_2_9.npz,0,both,0.5,0.9390824768088767,3.1622776601683795
original,22_Heart_2_9.npz,1,point,0.2,0.013683010262179687,32.69556544854363
original,22_Heart_2_9.npz,1,point,0.3,0.0,33.12099032335839
original,22_Heart_2_9.npz,1,point,0.5,0.0,33.12099032335839
original,22_Heart_2_9.npz,1,box,0.2,0.5186020293113142,22.627416997969522
original,22_Heart_2_9.npz,1,box,0.3,0.5247045146279312,22.627416997969522
original,22_Heart_2_9.npz,1,box,0.5,0.5185185185174633,22.627416997969522
original,22_Heart_2_9.npz,1,both,0.2,0.4246395806019558,22.627416997969522
original,22_Heart_2_9.npz,1,both,0.3,0.4034969737717922,22.627416997969522
original,22_Heart_2_9.npz,1,both,0.5,0.344499881206119,22.627416997969522
original,22_Heart_2_9.npz,2,point,0.2,0.4636559139765004,36.76955262170047
original,22_Heart_2_9.npz,2,point,0.3,0.5381026438541312,37.69615364994153
original,22_Heart_2_9.npz,2,point,0.5,0.49687322341957435,39.56008088970496
original,22_Heart_2_9.npz,2,box,0.2,0.6779388083717716,25.0
original,22_Heart_2_9.npz,2,box,0.3,0.7084391758376843,16.97056274847714
original,22_Heart_2_9.npz,2,box,0.5,0.7382870784818315,15.556349186104045
original,22_Heart_2_9.npz,2,both,0.2,0.6803124158344188,22.80350850198276
original,22_Heart_2_9.npz,2,both,0.3,0.710317460315447,17.72004514666935
original,22_Heart_2_9.npz,2,both,0.5,0.7433042431515399,15.132745950421556
original,22_Heart_3_2.npz,0,point,0.2,0.24046920820409182,8.48528137423857
original,22_Heart_3_2.npz,0,point,0.3,0.21428571427933674,8.48528137423857
original,22_Heart_3_2.npz,0,point,0.5,0.18181818181267217,8.602325267042627
original,22_Heart_3_2.npz,0,box,0.2,0.8415147264959114,3.605551275463989
original,22_Heart_3_2.npz,0,box,0.3,0.8784773059900662,2.8284271247461903
original,22_Heart_3_2.npz,0,box,0.5,0.9199999999858461,2.23606797749979
original,22_Heart_3_2.npz,0,both,0.2,0.8510638297751622,3.605551275463989
original,22_Heart_3_2.npz,0,both,0.3,0.884955752199337,2.8284271247461903
original,22_Heart_3_2.npz,0,both,0.5,0.9188361408741372,2.8284271247461903
original,22_Heart_3_2.npz,1,point,0.2,0.0,12.529964086141668
original,22_Heart_3_2.npz,1,point,0.3,0.0,12.529964086141668
original,22_Heart_3_2.npz,1,point,0.5,0.0,15.811388300841896
original,22_Heart_3_2.npz,1,box,0.2,0.6403508771883015,8.94427190999916
original,22_Heart_3_2.npz,1,box,0.3,0.6517524235596439,8.94427190999916
original,22_Heart_3_2.npz,1,box,0.5,0.6687258687207048,8.94427190999916
original,22_Heart_3_2.npz,1,both,0.2,0.6712962962911166,8.94427190999916
original,22_Heart_3_2.npz,1,both,0.3,0.6734534064160262,8.94427190999916
original,22_Heart_3_2.npz,1,both,0.5,0.6677604593874672,8.94427190999916
original,22_Heart_3_2.npz,2,point,0.2,0.6382978722951561,4.0
original,22_Heart_3_2.npz,2,point,0.3,0.5781249999548339,4.0
original,22_Heart_3_2.npz,2,point,0.5,0.4814814814368999,4.123105625617661
original,22_Heart_3_2.npz,2,box,0.2,0.6403508771648969,4.47213595499958
original,22_Heart_3_2.npz,2,box,0.3,0.6545454545157025,4.123105625617661
original,22_Heart_3_2.npz,2,box,0.5,0.719999999964,3.605551275463989
