organ,file,class,dx,dy,mode,dice,hd
Pancreas,6_Pancreas_13_37_0.npz,2,10,10,point,0.007297094854178328,384.75576668842797
Pancreas,6_Pancreas_13_37_0.npz,2,10,10,box,0.007028576713215291,384.75576668842797
Pancreas,6_Pancreas_13_37_0.npz,2,10,10,both,0.007129491213580831,384.5841910427416
Pancreas,6_Pancreas_13_37_0.npz,2,-10,-10,point,0.006952420796409426,386.079007458318
Pancreas,6_Pancreas_13_37_0.npz,2,-10,-10,box,0.005178993276392341,380.34852438257207
Pancreas,6_Pancreas_13_37_0.npz,2,-10,-10,both,0.007169840413229051,386.079007458318
Pancreas,6_Pancreas_13_38_0.npz,2,0,0,point,0.006946763743234605,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,0,0,box,0.007907903531072069,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,0,0,both,0.008066061322628056,379.11080174534726
Pancreas,6_Pancreas_13_38_0.npz,2,5,0,point,0.007823882801427495,379.6024235960566
Pancreas,6_Pancreas_13_38_0.npz,2,5,0,box,0.008179003330022102,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,5,0,both,0.00803624959645759,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,-5,0,point,0.007744387694498696,378.1137395017536
Pancreas,6_Pancreas_13_38_0.npz,2,-5,0,box,0.0073890956507545605,378.4521105767545
Pancreas,6_Pancreas_13_38_0.npz,2,-5,0,both,0.007965524215504149,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,0,5,point,0.007926530438302477,379.7709836203919
Pancreas,6_Pancreas_13_38_0.npz,2,0,5,box,0.008044712335756791,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,0,5,both,0.0077712227829488546,379.6024235960566
Pancreas,6_Pancreas_13_38_0.npz,2,0,-5,point,0.008193525708624408,378.85749299703707
Pancreas,6_Pancreas_13_38_0.npz,2,0,-5,box,0.0066348745593959825,372.6258176777342
Pancreas,6_Pancreas_13_38_0.npz,2,0,-5,both,0.007982799492805117,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,10,10,point,0.007766901052436288,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,10,10,box,0.007957720286131254,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,10,10,both,0.007954991495485718,381.09578848368295
Pancreas,6_Pancreas_13_38_0.npz,2,-10,-10,point,0.007483629560334576,378.4521105767545
Pancreas,6_Pancreas_13_38_0.npz,2,-10,-10,box,0.007907310445891724,376.7784494898826
Pancreas,6_Pancreas_13_38_0.npz,2,-10,-10,both,0.007660729315170707,376.62979170532964
Pancreas,6_Pancreas_13_75_0.npz,2,0,0,point,0.03653631535978172,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,0,0,box,0.03616788390043046,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,0,0,both,0.036286953407868326,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,5,0,point,0.03534295557959567,371.4000538502923
Pancreas,6_Pancreas_13_75_0.npz,2,5,0,box,0.0,300.8870219866586
Pancreas,6_Pancreas_13_75_0.npz,2,5,0,both,0.032828003393450475,370.20264720825537
Pancreas,6_Pancreas_13_75_0.npz,2,-5,0,point,0.036523650453720496,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,-5,0,box,0.03654671731361262,372.6043478007201
Pancreas,6_Pancreas_13_75_0.npz,2,-5,0,both,0.03395579479048907,370.80048543657546
Pancreas,6_Pancreas_13_75_0.npz,2,0,5,point,0.03422390603213467,372.0013440835933
Pancreas,6_Pancreas_13_75_0.npz,2,0,5,box,0.03345201298954704,371.01212918178294
