version,mode,threshold,dice,hd95
original,both,0.3,0.8863636363468491,2.23606797749979
original,both,0.5,0.9224652087291756,2.0
original,point,0.2,0.0,11.180339887498949
original,point,0.3,0.0,11.180339887498949
original,point,0.5,0.0,11.180339887498949
original,box,0.2,0.5667125171861525,8.48528137423857
original,box,0.3,0.566906474811987,8.48528137423857
original,box,0.5,0.5311077389904233,8.48528137423857
original,both,0.2,0.5812220566232307,8.48528137423857
original,both,0.3,0.5524691357939434,8.48528137423857
original,both,0.5,0.4623115577812008,8.48528137423857
original,point,0.2,0.09486166007717664,11.0
original,point,0.3,0.07968127489881113,11.045361017187261
original,point,0.5,0.06036217303701485,12.0
original,box,0.2,0.8633093525102221,5.0
original,box,0.3,0.8888888888806585,5.0
original,box,0.5,0.9218749999909974,4.242640687119285
original,both,0.2,0.8831168831086911,5.0
original,both,0.3,0.904397705536287,4.242640687119285
original,both,0.5,0.9313131313037241,3.605551275463989
original,point,0.2,0.0,18.110770276274835
original,point,0.3,0.0,18.110770276274835
original,point,0.5,0.0,19.1049731745428
original,box,0.2,0.6079919069266162,11.661903789690601
original,box,0.3,0.5789473684179434,11.661903789690601
original,box,0.5,0.531585220497428,11.661903789690601
original,both,0.2,0.5690329793148741,11.661903789690601
original,both,0.3,0.5106902871074485,11.661903789690601
original,both,0.5,0.37491190979298866,11.661903789690601
original,point,0.2,0.23210831721021066,23.53720459187964
original,point,0.3,0.2043222003889131,23.53720459187964
original,point,0.5,0.12320328541841472,24.331050121192877
original,box,0.2,0.6986624704901758,16.0
original,box,0.3,0.7392405063228756,13.92838827718412
original,box,0.5,0.7980861243942767,7.211102550927978
original,both,0.2,0.7585601404674402,12.0
original,both,0.3,0.7741935483799615,11.704699910719626
original,both,0.5,0.7875751502927096,7.0710678118654755
original,point,0.2,0.08152173912932716,13.601470508735444
original,point,0.3,0.04160887655975577,14.560219778561036
original,point,0.5,0.03342618384354559,14.560219778561036
original,box,0.2,0.8615009151869342,5.0
original,box,0.3,0.8812067881779937,4.242640687119285
original,box,0.5,0.9123505976035037,3.605551275463989
original,both,0.2,0.9437288135529239,2.8284271247461903
original,both,0.3,0.9515905947375409,2.23606797749979
original,both,0.5,0.9477503628378248,2.0
original,point,0.2,0.0,20.396078054371138
original,point,0.3,0.0,20.396078054371138
original,point,0.5,0.0,21.37755832643195
original,box,0.2,0.6620689655145555,13.45362404707371
original,box,0.3,0.7012089809986994,10.295630140987
