file,class,dx,dy,mode,dice,hd
22_Heart_3_2.npz,2,0,0,point+box,0.0016311735387396324,237.1855813492886
22_Heart_3_2.npz,2,5,0,point+box,0.0016583747927024634,239.3407612589214
22_Heart_3_2.npz,2,-5,0,point+box,0.0013725211794213233,239.3407612589214
22_Heart_3_2.npz,2,0,5,point+box,0.0015425589607007144,238.00840321299583
22_Heart_3_2.npz,2,0,-5,point+box,0.0015261446084561515,239.3407612589214
22_Heart_3_2.npz,2,10,10,point+box,0.0014653315867761672,239.3407612589214
22_Heart_3_2.npz,2,-10,-10,point+box,0.001573632906411866,237.34573937612615
22_Heart_4_2.npz,0,0,0,point+box,0.008506925509860937,145.45446022724775
22_Heart_4_2.npz,0,5,0,point+box,0.009029130827349224,146.21901381147393
22_Heart_4_2.npz,0,-5,0,point+box,0.010382306818790687,146.21901381147393
22_Heart_4_2.npz,0,0,5,point+box,0.009093028678008222,146.21901381147393
22_Heart_4_2.npz,0,0,-5,point+box,0.00959051410967782,146.21901381147393
22_Heart_4_2.npz,0,10,10,point+box,0.010851076309457783,145.71547618561317
22_Heart_4_2.npz,0,-10,-10,point+box,0.011423418006897003,146.21901381147393
22_Heart_4_2.npz,1,0,0,point+box,0.009864364981499027,143.68020044529447
22_Heart_4_2.npz,1,5,0,point+box,0.008357348703157987,142.27438279606065
22_Heart_4_2.npz,1,-5,0,point+box,0.010362162716728037,143.05593311708537
22_Heart_4_2.npz,1,0,5,point+box,0.01074529893171066,143.68020044529447
22_Heart_4_2.npz,1,0,-5,point+box,0.008928898159326333,143.05593311708537
22_Heart_4_2.npz,1,10,10,point+box,0.010201957110135955,142.90206436577463
22_Heart_4_2.npz,1,-10,-10,point+box,0.009588744067263453,143.68020044529447
22_Heart_4_5.npz,0,0,0,point+box,0.020363833831106723,150.08331019803634
22_Heart_4_5.npz,0,5,0,point+box,0.02065057060786672,150.08331019803634
22_Heart_4_5.npz,0,-5,0,point+box,0.019621251972640818,150.08331019803634
22_Heart_4_5.npz,0,0,5,point+box,0.019959072688021766,149.93665329064805
22_Heart_4_5.npz,0,0,-5,point+box,0.020172040847120036,150.71164520368026
22_Heart_4_5.npz,0,10,10,point+box,0.019922265925007582,150.71164520368026
22_Heart_4_5.npz,0,-10,-10,point+box,0.016179775280874636,149.30505684671232
22_Heart_4_5.npz,1,0,0,point+box,0.028463108778052804,143.8401890988746
22_Heart_4_5.npz,1,5,0,point+box,0.028103998370773164,144.46106741956464
22_Heart_4_5.npz,1,-5,0,point+box,0.028053912301013565,143.68020044529447
22_Heart_4_5.npz,1,0,5,point+box,0.01910152104697877,139.8070098385628
22_Heart_4_5.npz,1,0,-5,point+box,0.02554772780055311,143.05593311708537
22_Heart_4_5.npz,1,10,10,point+box,0.02807719615309234,144.46106741956464
22_Heart_4_5.npz,1,-10,-10,point+box,0.02738636865584726,144.46106741956464
22_Heart_4_5.npz,2,0,0,point+box,0.02000993871127381,157.13688300332294
22_Heart_4_5.npz,2,5,0,point+box,0.01712345147557415,156.40012787718558
22_Heart_4_5.npz,2,-5,0,point+box,0.019312778785348927,157.13688300332294
22_Heart_4_5.npz,2,0,5,point+box,0.02066362010728366,157.13688300332294
22_Heart_4_5.npz,2,0,-5,point+box,0.019156569417173506,155.72411502397438
22_Heart_4_5.npz,2,10,10,point+box,0.019489148087982067,156.46405337968207
22_Heart_4_5.npz,2,-10,-10,point+box,0.018895945903239203,157.13688300332294
22_Heart_4_6.npz,0,0,0,point+box,0.026929982046668126,149.164338901763
22_Heart_4_6.npz,0,5,0,point+box,0.023076923076867605,146.98639392814562
22_Heart_4_6.npz,0,-5,0,point+box,0.02732578705340143,149.164338901763
22_Heart_4_6.npz,0,0,5,point+box,0.030187782267637197,149.80320423809366
22_Heart_4_6.npz,0,0,-5,point+box,0.029523433465957077,149.164338901763
22_Heart_4_6.npz,0,10,10,point+box,0.030855691551152132,149.80320423809366
22_Heart_4_6.npz,0,-10,-10,point+box,0.02775296289677342,148.39474384222643
22_Heart_4_6.npz,1,0,0,point+box,0.03124999999995754,142.12670403551894
22_Heart_4_6.npz,1,5,0,point+box,0.0305343511449875,141.4955829699288
22_Heart_4_6.npz,1,-5,0,point+box,0.03421592883085002,142.12670403551894
22_Heart_4_6.npz,1,0,5,point+box,0.032358532540536195,142.12670403551894
22_Heart_4_6.npz,1,0,-5,point+box,0.03458807990753071,141.4955829699288
22_Heart_4_6.npz,1,10,10,point+box,0.029197080291918823,140.24621207005913
22_Heart_4_6.npz,1,-10,-10,point+box,0.03000126055712845,140.5844941663198
22_Heart_4_6.npz,2,0,0,point+box,0.036607714556967916,153.7172729396407
