file,class,dx,dy,mode,dice,hd
22_Heart_2_10.npz,1,10,10,point,0.00594061353554966,336.40005945302687
22_Heart_2_10.npz,1,10,10,box,0.006277657713285531,335.9315406448165
22_Heart_2_10.npz,1,10,10,both,0.0059370515265293865,335.62181097181394
22_Heart_2_10.npz,1,-10,-10,point,0.007281013783901934,334.8611652610676
22_Heart_2_10.npz,1,-10,-10,box,0.006153708947402254,334.8611652610676
22_Heart_2_10.npz,1,-10,-10,both,0.005651163893234187,335.62181097181394
22_Heart_2_10.npz,2,0,0,point,0.002872097494369365,378.88916585196785
22_Heart_2_10.npz,2,0,0,box,0.002634693562496513,378.88916585196785
22_Heart_2_10.npz,2,0,0,both,0.002918749315917774,376.3787985527346
22_Heart_2_10.npz,2,5,0,point,0.002541973673685014,378.88916585196785
22_Heart_2_10.npz,2,5,0,box,0.003340664235405008,375.13330963805384
22_Heart_2_10.npz,2,5,0,both,0.0030503627601543137,378.88916585196785
22_Heart_2_10.npz,2,-5,0,point,0.003007615025276444,378.88916585196785
22_Heart_2_10.npz,2,-5,0,box,0.0029355312182451796,378.1137395017536
22_Heart_2_10.npz,2,-5,0,both,0.002773983694044892,378.88916585196785
22_Heart_2_10.npz,2,0,5,point,0.0030195102331083455,378.2591704109763
22_Heart_2_10.npz,2,0,5,box,0.0030965268519256156,378.88916585196785
22_Heart_2_10.npz,2,0,5,both,0.003004894510866565,376.56606326114945
22_Heart_2_10.npz,2,0,-5,point,0.003184511883923152,377.63077205121937
22_Heart_2_10.npz,2,0,-5,box,0.0027115474520791436,377.00397875884545
22_Heart_2_10.npz,2,0,-5,both,0.0031017566070577515,376.3787985527346
22_Heart_2_10.npz,2,10,10,point,0.002965430393630117,378.2591704109763
22_Heart_2_10.npz,2,10,10,box,0.0033530792444382276,376.3787985527346
22_Heart_2_10.npz,2,10,10,both,0.0041189931350067285,378.88916585196785
22_Heart_2_10.npz,2,-10,-10,point,0.0029444560596554687,378.2591704109763
22_Heart_2_10.npz,2,-10,-10,box,0.0028735632183873637,375.7552394844282
22_Heart_2_10.npz,2,-10,-10,both,0.002982629572094168,377.3393697985939
22_Heart_2_4.npz,0,0,0,point,0.032917240460215796,323.40222633742025
22_Heart_2_4.npz,0,0,0,box,0.033829479342013385,325.0
22_Heart_2_4.npz,0,0,0,both,0.03150069919775793,322.60502165961395
22_Heart_2_4.npz,0,5,0,point,0.033810625359917836,325.0
22_Heart_2_4.npz,0,5,0,box,0.03602018611972443,322.60502165961395
22_Heart_2_4.npz,0,5,0,both,0.03287856961274269,325.0
22_Heart_2_4.npz,0,-5,0,point,0.02540962060805624,321.8089495337257
22_Heart_2_4.npz,0,-5,0,box,0.032561390319679986,325.0
22_Heart_2_4.npz,0,-5,0,both,0.032624444016653396,323.80395303331306
22_Heart_2_4.npz,0,0,5,point,0.030119027723612406,324.4009864349984
22_Heart_2_4.npz,0,0,5,box,0.03317312960846368,323.40222633742025
22_Heart_2_4.npz,0,0,5,both,0.03334589654197525,325.0
22_Heart_2_4.npz,0,0,-5,point,0.03371010852413398,325.0
22_Heart_2_4.npz,0,0,-5,box,0.03331193038611396,325.0
22_Heart_2_4.npz,0,0,-5,both,0.0347311506014517,323.80395303331306
22_Heart_2_4.npz,0,10,10,point,0.03399343241697467,325.0
22_Heart_2_4.npz,0,10,10,box,0.03275102145867305,325.0
22_Heart_2_4.npz,0,10,10,both,0.033726037518982496,323.20891076825217
22_Heart_2_4.npz,0,-10,-10,point,0.03093307720556641,323.80395303331306
22_Heart_2_4.npz,0,-10,-10,box,0.03368558447751921,323.80395303331306
22_Heart_2_4.npz,0,-10,-10,both,0.03311697338451655,324.4009864349984
22_Heart_2_4.npz,1,0,0,point,0.02903815040968331,311.60231064611827
22_Heart_2_4.npz,1,0,0,box,0.02896646023749119,312.60518229869444
22_Heart_2_4.npz,1,0,0,both,0.023339638128538117,313.2091952673165
22_Heart_2_4.npz,1,5,0,point,0.0287622272385225,313.2091952673165
22_Heart_2_4.npz,1,5,0,box,0.027247597735942423,313.2091952673165
22_Heart_2_4.npz,1,5,0,both,0.028717208679067286,312.00160255998685
22_Heart_2_4.npz,1,-5,0,point,0.02806447871970016,312.60518229869444
22_Heart_2_4.npz,1,-5,0,box,0.02804335327810957,311.40006422606916
22_Heart_2_4.npz,1,-5,0,both,0.02828531965272157,312.40518561637225
22_Heart_2_4.npz,1,0,5,point,0.02835613279477298,310.80057915003954
22_Heart_2_4.npz,1,0,5,box,0.029139290022602325,313.2091952673165
22_Heart_2_4.npz,1,0,5,both,0.02913208968271723,311.60231064611827
22_Heart_2_4.npz,1,0,-5,point,0.021026969373745978,310.0
22_Heart_2_4.npz,1,0,-5,box,0.031079986109498917,312.00160255998685
22_Heart_2_4.npz,1,0,-5,both,0.014453781512592896,308.40233462151355
22_Heart_2_4.npz,1,10,10,point,0.02923149457801863,308.2093444397817
22_Heart_2_4.npz,1,10,10,box,0.026740457913708576,311.60231064611827
22_Heart_2_4.npz,1,10,10,both,0.024813320346916933,313.2091952673165
22_Heart_2_4.npz,1,-10,-10,point,0.02828046353739573,312.60518229869444
22_Heart_2_4.npz,1,-10,-10,box,0.02730053307698553,312.00160255998685
